"FOX HOLLOW" ,2-09-023-2,140,158,11,15,1,0,0,0,0,155,170,325,A104
"HAYWOOD WEST" ,2-09-023-2,597,796,35,49,5,1,1,0,0,702,782,1484,B101
"HAYWOOD EAST" ,2-09-023-2,564,716,37,48,5,0,0,0,0,644,726,1370,B102
"THOMERSON PARK" ,2-09-023-2,244,388,21,22,2,0,0,0,0,322,355,677,B103
"AUSTIN" ,2-09-023-2,524,662,30,43,4,0,0,0,0,618,644,1263,B104
"EASTERN" ,2-09-023-2,339,423,28,26,2,0,0,0,0,403,415,818,C101
"GREEN VALLEY" ,2-09-023-2,427,590,39,27,5,0,1,0,0,531,558,1089,C102
"EIGHTY EIGHT" ,2-09-023-2,434,596,35,27,2,0,0,0,1,534,560,1095,C103
"TEMPLE HILL" ,2-09-023-2,471,731,29,46,2,1,1,0,0,626,655,1281,C104
"HISEVILLE-GOODNIGHT" ,2-09-023-2,549,679,31,40,3,1,3,0,0,639,667,1306,D101
"GLASGOW MIDDLE SCHOOL" ,2-09-023-2,832,1024,50,62,4,0,1,0,0,951,1022,1973,D102
"GLASGOW HIGH SCHOOL" ,2-09-023-2,845,811,41,50,2,0,0,0,0,752,994,1749,D103
"EXTENSION SERVICE EAST" ,2-09-023-2,498,525,31,45,2,1,0,0,0,515,587,1102,E101
"EXTENSION SERVICE WEST" ,2-09-023-2,372,435,39,32,3,0,0,0,0,419,462,881,E102
"BECKTON" ,2-09-023-2,505,642,40,50,2,0,0,0,0,605,634,1239,E103
"RED CROSS" ,2-09-023-2,668,705,40,49,3,1,2,0,0,726,742,1468,E104
"CAVE CITY NORTH" ,2-09-023-2,649,428,54,47,1,0,0,0,0,575,604,1179,F101
"CAVE CITY SOUTH" ,2-09-023-2,803,695,69,70,6,3,0,0,0,766,879,1646,F102
"PARK CITY" ,2-09-023-2,955,926,72,83,8,1,0,0,0,987,1057,2045,F103
"GLASGOW #4" ,2-09-023-2,982,960,82,95,12,0,1,0,0,975,1157,2132,G101
"GLASGOW #5" ,2-09-023-2,572,478,47,53,3,1,0,0,0,516,638,1154,G102
"GLASGOW #6" ,2-09-023-2,587,523,48,45,9,1,1,0,0,527,687,1214,G103
"SHARPSBURG NO. 1" ,6-21-072-6,255,114,20,7,0,0,0,0,0,195,201,396,A101
"SHARPSBURG NO. 2" ,6-21-072-6,339,143,16,6,1,0,0,0,0,240,265,505,A102
"BETHEL" ,6-21-072-6,303,120,11,7,1,0,1,0,0,215,227,443,A103
"SOUTH SHERBURNE" ,6-21-072-6,195,93,8,3,0,0,0,0,0,152,147,299,A104
"OWINGSVILLE NO. 1" ,6-21-072-6,874,374,48,26,6,0,3,0,0,623,708,1331,A105
