-- This file was modified from its original using excel.  the OTH column is the sum of columns C,E,F,G,H,K,L,O,P,V,W,N,U
-- We will use District, Precinct, AKI, DEM, REP, and OTH; OTH+AKI+DEM+REP should equal Voters in this file.
District,Precinct,Voters,AKI,DEM,REP,C,E,F,G,H,K,L,O,P,V,W,N,U,OTH
DISTRICT 06,06-050 MANLEY HOT SPRINGS,130,5,7,38,0,0,0,0,0,0,0,0,0,0,0,27,53,80
DISTRICT 06,06-053 MENTASTA,92,4,15,15,0,0,0,0,0,0,1,0,0,2,0,16,39,60
DISTRICT 06,06-054 MINTO,113,3,16,9,0,0,0,1,0,0,1,0,1,0,0,12,70,85
DISTRICT 06,06-056 NENANA,591,25,59,167,2,0,0,1,0,0,8,0,0,1,0,83,245,341
DISTRICT 06,06-060 NORTHWAY,234,7,33,59,0,0,0,0,0,0,0,0,0,0,0,43,92,135
DISTRICT 06,06-070 STEVENS VILLAGE,77,2,21,8,0,0,0,1,0,0,0,0,0,0,0,8,37,46
DISTRICT 06,06-075 TANACROSS,111,1,27,11,0,0,0,0,0,0,0,0,0,0,0,14,58,72
DISTRICT 06,06-080 TANANA,158,5,33,15,0,0,0,0,0,0,1,0,0,0,0,28,76,105
DISTRICT 06,06-085 TETLIN,82,4,24,8,1,0,0,0,0,0,0,0,0,0,0,9,36,46
DISTRICT 06,06-090 TOK,1254,35,87,381,4,0,0,2,0,0,10,0,1,3,1,221,509,753
DISTRICT 06,06-095 VENETIE,149,8,40,9,0,0,0,0,0,0,0,0,0,0,0,16,76,92
DISTRICT 06,06-145 EIELSON,2285,46,215,837,4,0,0,2,0,0,35,2,1,5,0,207,931,1192
DISTRICT 06,06-150 FOX,589,37,52,165,0,0,0,1,0,0,9,0,1,0,0,78,246,335
DISTRICT 06,06-155 MOOSE CREEK,667,21,46,201,1,0,0,1,0,0,7,0,0,1,0,81,308,400
DISTRICT 06,06-160 SALCHA,1075,39,55,411,1,0,0,0,0,0,7,0,1,3,0,135,423,573
DISTRICT 06,06-170 STEELE CREEK,1359,49,152,359,7,0,0,5,0,0,16,0,0,1,0,202,568,800
DISTRICT 06,06-180 TWO RIVERS,1243,42,123,298,2,0,0,2,0,0,14,1,0,1,0,174,586,781
DISTRICT 07,07-100 LAKES NO. 1,1919,63,116,661,1,0,0,7,0,0,22,0,0,4,1,230,814,1082
DISTRICT 07,07-105 PIONEER PEAK,1377,36,95,495,2,1,0,4,0,0,17,0,1,4,0,189,533,755
DISTRICT 07,07-110 SCHROCK,2557,80,190,812,4,0,0,6,0,0,27,0,1,9,0,311,1117,1484
DISTRICT 07,07-115 WASILLA LAKE,1803,69,135,488,4,1,0,5,0,0,18,2,1,7,2,224,847,1116
DISTRICT 07,07-120 WASILLA NO. 1,3469,112,246,1042,3,0,0,6,0,0,35,1,2,13,1,447,1561,2081
DISTRICT 07,07-125 WASILLA NO. 2,4048,128,262,1296,9,2,0,8,0,0,53,1,1,7,2,445,1834,2367
DISTRICT 07,07-130 FOOTHILLS,1738,63,92,603,4,0,0,0,0,0,19,0,0,6,0,141,810,986
DISTRICT 08,08-130 MEADOW LAKES NO. 1,1423,36,85,459,3,1,0,6,1,0,25,0,0,1,1,187,618,843
DISTRICT 08,08-135 MEADOW LAKES NO. 2,3186,112,169,1079,4,0,0,4,1,0,46,0,5,8,0,376,1382,1834
DISTRICT 08,08-140 KNIK GOOSE BAY NO. 1,3628,112,189,1159,5,1,0,7,0,0,55,2,4,11,0,406,1677,2179
DISTRICT 08,08-145 KNIK GOOSE BAY NO. 2,3052,92,153,1018,7,0,0,3,1,0,43,3,0,12,0,340,1380,1801
DISTRICT 08,08-150 KNIK GOOSE BAY NO. 3,3356,112,206,1107,8,0,0,6,0,0,38,0,2,9,1,387,1480,1939
DISTRICT 08,08-155 BIG LAKE,3355,103,185,1133,2,2,0,7,0,0,25,1,1,4,2,451,1439,1936
DISTRICT 09,09-600 BIG DELTA,3103,77,156,1149,7,2,0,3,0,0,22,0,2,9,0,353,1323,1730
DISTRICT 09,09-608 DELTA JUNCTION,933,25,50,329,5,0,0,1,0,0,10,0,0,5,0,95,413,534
DISTRICT 09,09-622 FARM LOOP,3139,73,207,1112,3,2,0,5,0,0,47,2,3,8,1,404,1272,1754
DISTRICT 09,09-628 FISHHOOK,4180,113,246,1540,3,0,0,6,0,0,43,2,0,12,0,481,1734,2293
DISTRICT 09,09-632 GLENNALLEN,699,18,44,253,0,0,0,5,0,0,6,0,0,1,0,92,280,385
DISTRICT 09,09-640 SHEEP MOUNTAIN,354,6,17,150,0,0,0,1,0,0,2,0,0,0,0,60,118,181
DISTRICT 09,09-645 SUTTON,1184,22,95,344,0,0,0,3,0,0,14,0,1,2,0,159,544,725
DISTRICT 09,09-650 VALDEZ NO. 1,1191,54,120,308,0,0,0,1,0,0,17,0,0,4,0,137,550,713
DISTRICT 09,09-655 VALDEZ NO. 2,896,31,94,237,1,0,0,1,0,0,12,0,0,3,0,100,417,537
DISTRICT 09,09-660 VALDEZ NO. 3,1235,44,109,318,2,1,0,3,0,0,16,0,1,6,0,121,614,770
DISTRICT 09,09-665 WHITTIER,248,15,20,50,0,0,0,2,0,0,1,0,0,0,0,36,124,163
DISTRICT 10,10-005 KINGS LAKE,1514,51,100,513,1,0,0,1,0,0,13,1,0,4,0,185,645,854
DISTRICT 10,10-010 CHURCH,2566,68,166,925,5,1,0,7,0,0,25,1,2,7,0,304,1055,1414
DISTRICT 10,10-015 TANAINA,2912,91,203,925,1,0,0,2,2,0,29,0,0,5,0,364,1290,1698
